1,የማሽከርከር ሥልት ሥልጠና አሸከርካሪው በተለያዩ መልከዓ-ምድራዊ አቀማመጥ ባለላቸው መንገዶች ላይ እንዴት ማሽከርካር እንዳለበት የሚሰጥ ሥልጠና ነው፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
2,የቆመዉን ተሽከርካሪ ለማንቀሳቀስና ጉዞ ከመጀመራችን በፊት ከኋላ የአካባቢውን ሁኔታ በስፖክዮ መቃኘት ያስፈልጋል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
3,የሞተር ጉልበቱ ከፍተኛ የሆነ ተሽከርካሪ በሜዳ ላይ ጭነት ያልጫነ ከሆነ ሁለተኛ ማርሽ በማስገባት ከቆመበት መነሳት ይችላል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
4,በፍሪሲዮንና በነዳጅ አመጣጥኖ ተሽከርካሪን ለተወሰነ ደቂቃ ባላንስ በማድረግ ማቆም ተሽከርካሪው ወደ ኋላ ወይንም ወደ ፊት እንዳይንሸራተት ማድረግ ነው፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
5,እጅግ በጣም ተጠጋጋቶ ማሸከርከር ለአደጋ መፈጠር አንደኛው ምክንያት ቢሆንም ሌላው እንደ ምክንያት የሚጠቀሰው የመንገዱን አጠቃላይ ሁኔታ አለመረዳት ነው፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
6,አሽከርካሪዎች ተሽከርካሪዎችን በሚያሽከረክሩበት ጊዜ ከጐንና ጐን እንዲሁም ከኋላ ያሉትን ተሽከርካሪዎች ርቀት በእስፖክዮ በመመልከት መቆጣጠር ይገባቸዋል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
7,ተከታትሎ በማሽከርከር ወቅት ለመንገዱ የተሰጠውን የፍጥነት ወሰን ገደብ ማክበር ግዴታ አይደለም፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ለ
8,አሽከርካሪዎች ወደሚፈልጉብት አቅጣጫ ለማቋረጥ ሲፈልጉ ማድረግ የሚገባቸው በመጀመሪያ ፍጥነት መቀነስ ነው፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
9,ተሽከርካሪውን ረድፍ ለማስያዝና ተከታትሎ ለማሽከርካር ቢያስፈልግ የትራፊክ እንቅስቃሴውን ብዛትና ሁኔታ ማመዛዘን ይገባል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
10,ተሽከርካሪን መቅደም ቢያስፈልግ መቅደም የሚቻለው በቀኝ በኩል መሆኑን አሽከርካሪው ሊገነዘብ ይገባል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ለ
11,አንድ ተሽከርካሪ ለመቅደም ስንፈልግ በቅድሚያ በስፖኪዮ አማካኝነት ከኋላ እና ከጐን ተሽከርካሪ አለመኖሩን ማረጋገጥ ይገባል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
12,ተሽከርካሪን በምናስቀድምበት ጊዜ ፈቃደኛ መሆናችንን የምንገልጽው የቀኝ ፍሬቻ በማሳየት ማሳወቅ አለብን፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
13,ፊት ለፊት የሚመጣው ተሽከርካሪ ጋር ለመተላለፍ ቀኝ በኩል ያለውን የመንገዱን ጠርዝ ተጠግተህ በመንዳት በቂ የመተላለፍያ ቦታ በግራ በኩል መተው ያስፈልጋል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
14,ተራራማና ዳገት በሆኑ ቦታዎች ላይ ተሽከርካሪዎች መተላለፍ ቢፈልጉ ቁልቁለት የሚወርድ ተሽከርካሪ ዳገት ለሚወጣው ተሽከርካሪ ፍጥነቱን በመቀነስ ወይም በማቆም ቅድሚያ የመስጠት ግዴታ አለበት፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
15,እያሽከረከርን አቅጣጫ በምንቀይርበት ጊዜ ልናደርጋቸው ከሚገቡን ተግባራት አንዱ ረድፍን መያዝ ነው፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
16,ማንኛውም አሽከርካሪ ከመጋቢ መንገድ ወደ ዋና መንገድ ሲገባ ቅድሚያ መስጠት አለበት፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
17,ማንኛውም ተሽከርካሪ ከመንገድ ጠርዝ ወደ መተላለፊያ መንገድ ሲገባ ቅድሚያ መስጠት አለበት፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
18,አረንጓዴ የትራፊክ ማስተላለፊያ መብራት በርቶ ከርቀት በሚታይበት ጊዜ በከፍተኛ ፍጥነት እያሽከረከረ መገናኛ መንገዱን ማቋረጥ ይቻላል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ለ
19,አንድ አሽከርካሪ አቅጣጫውን ከመለወጡ ወይም ከመታጠፉ በፊተ ግልጽ የማስጠንቀቂያ ምልክቶችን በፍሬቻና በእጅ ምልክት ማሳየት አለበት፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
